,Magnet-sensor distance [cm],Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB],Temperature[C],"Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]"
37599,37,0.1,-0.34,-0.14,3,-10,-4,19.67,2
37600,37,0.24,-0.34,0.0,7,-10,0,19.87,2
37601,37,0.14,-0.27,-0.07,4,-8,-2,19.54,2
37602,37,0.07,-0.41,0.0,2,-12,0,19.67,2
37603,37,0.1,-0.51,-0.1,3,-15,-3,19.74,2
37604,37,0.1,-0.37,0.03,3,-11,1,19.8,2
37605,37,0.17,-0.41,-0.07,5,-12,-2,19.8,2
37606,37,0.17,-0.41,-0.1,5,-12,-3,19.67,2
37607,37,0.0,-0.47,0.0,0,-14,0,19.8,2
37608,37,0.03,-0.47,-0.07,1,-14,-2,19.41,2
37609,37,0.07,-0.51,0.0,2,-15,0,19.47,2
37610,37,0.0,-0.44,0.0,0,-13,0,19.54,2
37611,37,0.07,-0.47,-0.07,2,-14,-2,19.47,2
37612,37,0.07,-0.37,0.0,2,-11,0,19.61,2
37613,37,0.07,-0.44,-0.07,2,-13,-2,19.87,2
37614,37,0.0,-0.31,0.03,0,-9,1,19.67,2
37615,37,0.03,-0.41,-0.14,1,-12,-4,19.54,2
37616,37,0.07,-0.37,-0.07,2,-11,-2,19.74,2
37617,37,0.14,-0.27,-0.1,4,-8,-3,19.87,2
37618,37,-0.03,-0.41,-0.07,-1,-12,-2,19.74,2
37619,37,0.14,-0.44,-0.14,4,-13,-4,19.74,2
37620,37,0.2,-0.58,-0.03,6,-17,-1,19.74,2
37621,37,-0.03,-0.44,-0.1,-1,-13,-3,19.47,2
37622,37,-0.03,-0.37,-0.1,-1,-11,-3,19.47,2
37623,37,0.17,-0.34,-0.1,5,-10,-3,19.67,2
37624,37,0.07,-0.47,-0.1,2,-14,-3,19.67,2
37625,37,0.17,-0.37,-0.03,5,-11,-1,19.41,2
37626,37,-0.03,-0.37,-0.03,-1,-11,-1,19.74,2
37627,37,0.1,-0.44,-0.03,3,-13,-1,19.61,2
37628,37,0.1,-0.24,-0.17,3,-7,-5,19.54,2
